c_selija_adj;Selonian;;;;;;;;;;;;;
c_lida_adj;Lida;;;;;;;;;;;;;
c_aachen_adj;Aachener;;;;;;;;;;;;;
c_niederlausitz_adj;Lower Lusatian;;;;;;;;;;;;;
c_wargrien_adj;Wagrian;;;;;;;;;;;;;
c_lori_adj;Lorian;;;;;;;;;;;;;
c_lori_adj_armenian;Tashir;;;;;;;;;;;;;
c_sanmarino_adj;Sammarinese;;;;;;;;;;;;;
c_reggionellemilia_adj;Reggiano;;;;;;;;;;;;;
c_trieste_adj;Triestine;;;;;;;;;;;;;
c_amalfi_adj;Amalfitan;;;;;;;;;;;;;
c_arbanon_adj_oghuz;Albanian;;;;;;;;;;;;;
c_arbanon_adj_turkmen;Albanian;;;;;;;;;;;;;
c_arbanon_adj_turkish;Albanian;;;;;;;;;;;;;
c_byzantion_adj_oghuz;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_turkmen;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_turkish;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_russian;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_bohemian;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_moravian;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_polish;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_pommeranian;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_croatian;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_bosnian;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_serbian;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_karantanci;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_bulgarian;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_norwegian;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_danish;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_swedish;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_anglonorse;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_gothic;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_norse;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_norsegaelic;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_icelandic;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_saxon;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_kurdish;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_bedouin_arabic;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_maghreb_arabic;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_levantine_arabic;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_egyptian_arabic;Constantinopolitan;;;;;;;;;;;;;
c_byzantion_adj_andalusian_arabic;Constantinopolitan;;;;;;;;;;;;;
c_lesbos_adj;Aegean;;;;;;;;;;;;;
c_lesbos_adj_dalmatian;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_venetian;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_ligurian;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_central_italian;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_southern_italian;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_tuscan;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_neapolitan;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_corsican;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_sardinian;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_sicilian;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_italian;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_oghuz;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_turkmen;Lesbian;;;;;;;;;;;;;
c_lesbos_adj_turkish;Lesbian;;;;;;;;;;;;;
c_kyzikos_adj_oghuz;Erdek;;;;;;;;;;;;;
c_kyzikos_adj_turkmen;Erdek;;;;;;;;;;;;;
c_kyzikos_adj_turkish;Erdek;;;;;;;;;;;;;
c_nicosia_adj;Nicosian;;;;;;;;;;;;;
c_saone_adj_greek;Latakian;;;;;;;;;;;;;
c_saone_adj_bedouin_arabic;Latakian;;;;;;;;;;;;;
c_saone_adj_maghreb_arabic;Latakian;;;;;;;;;;;;;
c_saone_adj_levantine_arabic;Latakian;;;;;;;;;;;;;
c_saone_adj_egyptian_arabic;Latakian;;;;;;;;;;;;;
c_saone_adj_andalusian_arabic;Latakian;;;;;;;;;;;;;
c_saone_adj_sicilian_arabic;Latakian;;;;;;;;;;;;;
c_eivissa_adj;Ibizan;;;;;;;;;;;;;
c_roslavl_adj;Roslavlian;;;;;;;;;;;;;
c_vorotynsk_adj;Vorotynsky;;;;;;;;;;;;;
c_ghana_adj;Ghanaian;;;;;;;;;;;;;
c_mali_adj;Malian;;;;;;;;;;;;;
c_ely_adj;Ely;;;;;;;;;;;;;
c_powys_wenwynwyn_adj;Powys;;;;;;;;;;;;;
c_syrmia_adj;Syrmian;;;;;;;;;;;;;
c_branicevo_adj_arberian;Viminacium;;;;;;;;;;;;;
c_branicevo_adj_armenian;Viminacium;;;;;;;;;;;;;
c_branicevo_adj_alan;Viminacium;;;;;;;;;;;;;
c_branicevo_adj_georgian;Viminacium;;;;;;;;;;;;;
c_skopje_adj;Skopjan;;;;;;;;;;;;;
c_krasso_adj_serbian;Carasovan;;;;;;;;;;;;;
c_krasso_adj_bosnian;Carasovan;;;;;;;;;;;;;
c_krasso_adj_croatian;Carasovan;;;;;;;;;;;;;
c_krasso_adj_romanian;Carasovan;;;;;;;;;;;;;
c_krasso_adj_pecheneg;Ada Kaleh;;;;;;;;;;;;;
